번호,제조사,제품명,가격,세부스펙,이미지,상품주소
11,ASUS,ASUS ROG CROSSHAIR VIII DARK HERO STCOM,"750,000","AMD(소켓AM4) / AMD X570 / DDR4 / VGA 연결 : PCIe4.0 x16 / ATX (30.5x24.4cm) / 전원부 : 14+2페이즈 / 페이즈당90A / Vcore출력합계 : 1260A / [메모리] 4866MHz (PC4-38900) / 4개 / 메모리 용량 : 최대 128GB / [확장슬롯] PCIe버전 : PCIe4.0 , PCIe3.0 / PCIex16 : 3개 / PCIex1 : 1개 / CrossFire X / SLI / [저장장치] M.2 : 2개 / SATA3 : 8개 / M.2 연결 : PCIe , NVMe , SATA / [후면단자] USB3.x 10Gbps / USB3.x 5Gbps / RJ-45 / S/PDIF / 오디오잭 / USB A타입 : 11개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8125-CG , Intel I211-AT / 2.5Gbps / RJ-45 : 2개 / 듀얼LAN / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : SupremeFX / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , RGB 12V 4핀 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 3개 / [특징] M.2 히트싱크 / LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/975/701/012/7316cda4d3a9409dbb260e1927af91e7.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=12701975&cate=112751
12,ASUS,ASUS PRIME B550M-K ARGB STCOM,"113,940","AMD(소켓AM4) / AMD B550 / DDR4 / VGA 연결 : PCIe4.0 x16 / M-ATX (24.4x24.4cm) / [메모리] 5100MHz (PC4-40800) / 2개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe4.0 , PCIe3.0 / PCIex16 : 2개 / PCIex1 : 1개 / [저장장치] M.2 : 2개 / SATA3 : 4개 / M.2 연결 : PCIe4.0 , PCIe , NVMe , SATA / [후면단자] HDMI / DP / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : TPM 헤더 , 프론트오디오AAFP 헤더 , COM포트 헤더 , S/PDIF OUT 헤더 / [특징] UEFI 닫기",https://img.danuri.io/catalog-image/858/968/105/4cf3ffc3422a408da523760a4e503b01.jpg?shrink=130:130&_v=20260921080442,https://prod.danawa.com/info/?pcode=105968858&cate=112751
13,ASUS,ASUS TUF B450M-PRO GAMING (해외구매),"171,420","AMD(소켓AM4) / DDR4 / AMD B450 / VGA 연결 : PCIe3.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 10페이즈 / [메모리] 3533MHz (PC4-28200) / 4개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe3.0 / PCIex16 : 2개 / PCIex1 : 1개 / CrossFire X / [저장장치] M.2 : 2개 / SATA3 : 6개 / M.2 연결 : PCIe , NVMe , SATA / [후면단자] HDMI / DVI / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 5개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC S1200A / 7.1채널(8ch) / [내부I/O] [특징] LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/157/396/013/9f766b7d80024f1c96d7c32488d7c525.jpg?shrink=130:130&_v=20260921080441,https://prod.danawa.com/info/?pcode=13396157&cate=112751
14,ASUS,ASUS TUF Gaming B850M-PLUS WIFI7 STCOM,"268,990","AMD(소켓AM5) / AMD B850 / DDR5 / VGA 연결 : PCIe5.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 14+2+1페이즈 / 80A / Vcore출력합계 : 1120 / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 256GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex1 : 1개 / [저장장치] SATA3 : 4개 / M.2 : 3개 / M.2 연결 : PCIe5.0 , PCIe4.0 , NVMe , PCIe 레인공유 / [후면단자] HDMI / DP / USB3.x 20Gbps / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / BIOS플래시백 / USB A타입 : 11개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek / 2.5Gbps / RJ-45 : 1개 / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : Realtek ALC1220P / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , ARGB 5V 3핀 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 3개 / I/O 헤더 : 프론트오디오AAFP 헤더 , 침입감지 헤더 , COM포트 헤더 / [특징] DrMOS / 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/710/988/095/65ccf36625b84800af2b694e9bd8fb8a.jpg?shrink=130:130&_v=20260921143403,https://prod.danawa.com/info/?pcode=95988710&cate=112751
15,ASUS,ASUS TUF Gaming B650EM-E WIFI 대원씨티에스,"183,100","AMD(소켓AM5) / AMD B650 / DDR5 / VGA 연결 : PCIe5.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 8+2+1페이즈 / 페이즈당80A / Vcore출력합계 : 640A / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 256GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex1 : 1개 / [저장장치] M.2 : 3개 / SATA3 : 4개 / M.2 연결 : PCIe5.0 , PCIe4.0 / [후면단자] HDMI / DP / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / BIOS플래시백 / USB A타입 : 7개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek / 2.5Gbps / RJ-45 : 1개 / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : Realtek / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.0 Type C 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : 프론트오디오AAFP 헤더 , 침입감지 헤더 , COM포트 헤더 / [특징] DrMOS / 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / UEFI 닫기",https://img.danuri.io/catalog-image/418/703/093/09e84372ca7d49d8801e09a536050afc.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=93703418&cate=112751
16,ASUS,ASUS TUF Gaming B850M-PLUS WIFI7 W STCOM,"265,980","AMD(소켓AM5) / AMD B850 / DDR5 / VGA 연결 : PCIe5.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 14+2+1페이즈 / 페이즈당80A / Vcore출력합계 : 1120A / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 256GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex1 : 1개 / [저장장치] M.2 : 3개 / SATA3 : 4개 / M.2 연결 : PCIe5.0 , PCIe4.0 , NVMe , PCIe 레인공유 / [후면단자] HDMI / DP / USB3.x 20Gbps / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / BIOS플래시백 / USB A타입 : 11개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek / 2.5Gbps / RJ-45 : 1개 / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : Realtek ALC1220P / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , ARGB 5V 3핀 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 3개 / I/O 헤더 : 프론트오디오AAFP 헤더 , 침입감지 헤더 , COM포트 헤더 / [특징] DrMOS / 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / UEFI 닫기",https://img.danuri.io/catalog-image/944/988/095/7bfb27c8d3844224aeb4418523f2cf2a.jpg?shrink=130:130&_v=20260921092600,https://prod.danawa.com/info/?pcode=95988944&cate=112751
17,ASUS,ASUS ROG STRIX B850-I GAMING WIFI 인텍앤컴퍼니,"376,670","AMD(소켓AM5) / AMD B850 / DDR5 / VGA 연결 : PCIe5.0 x16 / M-iTX (17.0x17.0cm) / 전원부 : 10+2+1페이즈 / 페이즈당70A / Vcore출력합계 : 700A / [메모리] 8200MHz (PC5-65600) / 2개 / 메모리 용량 : 최대 96GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 / PCIex16 : 1개 / [저장장치] M.2 : 2개 / SATA3 : 2개 / M.2 연결 : PCIe5.0 , NVMe / [후면단자] HDMI / Type-C / USB3.x 20Gbps / USB3.x 10Gbps / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / BIOS플래시백 / 클리어CMOS / USB A타입 : 6개 / USB C타입 : 2개 / [랜/오디오] 유선랜 칩셋 : Intel / 2.5Gbps / RJ-45 : 1개 / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : SupremeFX ALC4080 / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB4 헤더 , USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : 디버그LED , 프론트오디오AAFP 헤더 , 온도 센서 / [특징] 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / UEFI 닫기",https://img.danuri.io/catalog-image/525/946/076/02d6cb25bf114792b2dfe5a5b72f83ac.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=76946525&cate=112751
18,ASUS,ASUS PRIME B650EM-A 대원씨티에스,"135,000","AMD(소켓AM5) / AMD B650 / DDR5 / VGA 연결 : PCIe5.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 8+2+1페이즈 / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 256GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex16(at x1) : 1개 / [저장장치] M.2 : 3개 / SATA3 : 4개 / M.2 연결 : PCIe5.0 , PCIe4.0 , NVMe / [후면단자] HDMI / DP / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / BIOS플래시백 / USB A타입 : 8개 / [랜/오디오] 유선랜 칩셋 : Realtek / 2.5Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.0 Type C 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 3개 / I/O 헤더 : TPM 헤더 , 프론트오디오AAFP 헤더 , 침입감지 헤더 , COM포트 헤더 , S/PDIF OUT 헤더 / [특징] 전원부 방열판 / M.2 히트싱크 닫기",https://img.danuri.io/catalog-image/959/119/097/d53ab5ed8b1541ca9390988025669fdd.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=97119959&cate=112751
19,ASUS,ASUS TUF Gaming B850-PLUS WIFI 대원씨티에스,"309,430","AMD(소켓AM5) / AMD B850 / DDR5 / VGA 연결 : PCIe5.0 x16 / ATX (30.5x24.4cm) / 전원부 : 14+2+1페이즈 / 80A / Vcore출력합계 : 1120 / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 192GB / XMP / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex16(at x4) : 1개 / PCIex1 : 2개 / [저장장치] SATA3 : 4개 / M.2 : 3개 / M.2 연결 : PCIe5.0 , PCIe4.0 , NVMe , PCIe 레인공유 / [후면단자] HDMI / DP / USB3.x 20Gbps / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / BIOS플래시백 / USB A타입 : 9개 / USB C타입 : 1개 / [랜/오디오] 유선랜 칩셋 : Realtek / 2.5Gbps / RJ-45 : 1개 / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : Realtek ALC1220P / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB4 헤더 , USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 4개 / I/O 헤더 : 프론트오디오AAFP 헤더 / [특징] DrMOS / 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/492/763/073/210a87f6757d49e6b4492c470bfc98b3.jpg?shrink=130:130&_v=20260921130304,https://prod.danawa.com/info/?pcode=73763492&cate=112751
20,ASUS,ASUS ProArt X870E-CREATOR WIFI 대원씨티에스,"744,030","AMD(소켓AM5) / AMD X870E / DDR5 / VGA 연결 : PCIe5.0 x16 / ATX (30.5x24.4cm) / 전원부 : 16+2+2페이즈 / 페이즈당80A / Vcore출력합계 : 1280A / [메모리] 8000MHz (PC5-64000) / 4개 / 메모리 용량 : 최대 192GB / EXPO / [확장슬롯] PCIe버전 : PCIe5.0 , PCIe4.0 / PCIex16 : 1개 / PCIex16(at x4) : 1개 / [저장장치] M.2 : 4개 / SATA3 : 4개 / M.2 연결 : PCIe5.0 , PCIe4.0 , NVMe , PCIe 레인공유 / [후면단자] HDMI / Type-C / USB4 40Gbps / USB3.x 20Gbps / USB3.x 10Gbps / USB 2.0 / RJ-45 / 오디오잭 / BIOS플래시백 / 클리어CMOS / USB A타입 : 8개 / USB C타입 : 3개 / [랜/오디오] 유선랜 칩셋 : Marvell AQtion, Intel / 10Gbps, 2.5Gbps / RJ-45 : 2개 / 듀얼LAN / 무선랜(Wi-Fi) / 블루투스 / 오디오 칩셋 : Realtek S1220A / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , USB3.1 Type C 헤더 , ARGB 5V 3핀 헤더 , CPU추가팬(OPT) 헤더 , 펌프전용 헤더 / 시스템팬 4핀 : 5개 / I/O 헤더 : TPM 헤더 , 디버그LED , 프론트오디오AAFP 헤더 , 침입감지 헤더 , COM포트 헤더 , 온도 센서 / [특징] DrMOS / 전원부 방열판 / M.2 히트싱크 / 일체형IO실드 / UEFI 닫기",https://img.danuri.io/catalog-image/106/852/067/e8fada26e8164bc284b1a0d3d66cc655.jpg?shrink=130:130&_v=20260921125729,https://prod.danawa.com/info/?pcode=67852106&cate=112751
