번호,제조사,제품명,가격,세부스펙,이미지,상품주소
47,인텔,인텔 코어i9-12세대 12900KS (엘더레이크),"908,000","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 탑재 / 10nm(인텔7) / 기본 클럭 : 3.4GHz / 최대 클럭 : 5.5GHz / L2 캐시 : 14MB / L3 캐시 : 30MB / TDP : 150~241W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 770 / 기술 지원 : 인텔 퀵싱크 , 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 / 시네벤치R23(멀티) : 27668 닫기",https://img.danuri.io/catalog-image/728/978/018/4b4e8d0851784e97b5172aefa938ba5d.jpg?shrink=130:130&_v=20260921080454,https://prod.danawa.com/info/?pcode=18978728&cate=112747
48,인텔,인텔 코어i5-12세대 12600 (엘더레이크),"442,000","인텔(소켓1700) / 6코어 / 12스레드 / 메모리 규격 : DDR5, DDR4 / 탑재 / 10nm(인텔7) / 기본 클럭 : 3.3GHz / 최대 클럭 : 4.8GHz / L2 캐시 : 7.5MB / L3 캐시 : 18MB / TDP : 65~117W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 770 / 기술 지원 : 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/990/232/016/48c709ab59e84ee488deb3a46fa0c75e.jpg?shrink=130:130&_v=20260917080519,https://prod.danawa.com/info/?pcode=16232990&cate=112747
49,인텔,인텔 코어i9-12세대 12900F (엘더레이크),"605,000","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 미탑재 / 10nm(인텔7) / 기본 클럭 : 2.4GHz / 최대 클럭 : 5.1GHz / L2 캐시 : 14MB / L3 캐시 : 30MB / TDP : 65~202W / PCIe5.0, 4.0 / 4800, 3200MHz / 기술 지원 : 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/314/233/016/9daaf2b70d244c8ab98e67f4228b40a8.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=16233314&cate=112747
50,인텔,인텔 코어i5-12세대 12500T (엘더레이크),"377,990","인텔(소켓1700) / 6코어 / 12스레드 / 메모리 규격 : DDR5, DDR4 / 탑재 / 10nm(인텔7) / 기본 클럭 : 2.0GHz / 최대 클럭 : 4.4GHz / L2 캐시 : 7.5MB / L3 캐시 : 18MB / TDP : 35W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 770 / 기술 지원 : 인텔 퀵싱크 , 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/835/393/016/2bcbc94cd72b46e99c84ad35f21e443d.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=16393835&cate=112747
51,인텔,인텔 코어i9-12세대 12900T (엘더레이크),"974,000","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 탑재 / 10nm(인텔7) / 기본 클럭 : 1.4GHz / 최대 클럭 : 4.9GHz / L2 캐시 : 14MB / L3 캐시 : 30MB / TDP : 35W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 770 / 기술 지원 : 인텔 퀵싱크 , 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/042/394/016/1281ace868f843b6aab388e88353f8be.jpg?shrink=130:130&_v=20260919080637,https://prod.danawa.com/info/?pcode=16394042&cate=112747
52,인텔,인텔 코어i3-12세대 12100T (엘더레이크),"208,000","인텔(소켓1700) / 4코어 / 8스레드 / 메모리 규격 : DDR5, DDR4 / 탑재 / 10nm(인텔7) / 기본 클럭 : 2.2GHz / 최대 클럭 : 4.1GHz / L2 캐시 : 5MB / L3 캐시 : 12MB / TDP : 35W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 730 / 기술 지원 : 인텔 퀵싱크 , 인텔 딥러닝부스트 , 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/682/393/016/8a0523e380244191bea0aafd2b0c0aa9.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=16393682&cate=112747
53,인텔,인텔 코어i5-12세대 12400T (엘더레이크),"378,000","인텔(소켓1700) / 6코어 / 12스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 1.8GHz / 최대 클럭 : 4.2GHz / L2 캐시 : 7.5MB / L3 캐시 : 18MB / PBP-MTP : 35-74W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 730 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 딥러닝부스트 , 옵테인 / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/980/811/017/1cb00c04c76b48878fd34848f134a81d.jpg?shrink=130:130&_v=20260913080451,https://prod.danawa.com/info/?pcode=17811980&cate=112747
54,인텔,인텔 코어i9-13세대 13900K (랩터레이크),"10,000,000","인텔(소켓1700) / P8+E16코어 / 16+16스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 3.0GHz / 최대 클럭 : 5.8GHz / L2 캐시 : 32MB / L3 캐시 : 36MB / PBP-MTP : 125-253W / PCIe5.0, 4.0 / 5600, 3200MHz / 인텔 UHD 770 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 / 시네벤치R23(싱글) : 2251 / 시네벤치R23(멀티) : 38207 / 출시가: 589달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/569/039/018/775922461b5740d4b3cf5a2f2373fe4d.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=18039569&cate=112747
55,인텔,인텔 코어i7-13세대 13700F (랩터레이크),"525,000","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 2.1GHz / 최대 클럭 : 5.2GHz / L2 캐시 : 24MB / L3 캐시 : 30MB / PBP-MTP : 65-219W / PCIe5.0, 4.0 / 5600, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 2019 / 시네벤치R23(멀티) : 28177 / 출시가: 359~369달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/379/640/018/0c10d52f3c304b62a3a35f16f57bd478.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=18640379&cate=112747
56,인텔,인텔 코어i5-13세대 13400 (랩터레이크),"325,450","인텔(소켓1700) / P6+E4코어 / 12+4스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 2.5GHz / 최대 클럭 : 4.6GHz / L2 캐시 : 9.5MB / L3 캐시 : 20MB / PBP-MTP : 65-154W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 730 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 1785 / 시네벤치R23(멀티) : 15991 / 출시가: 221달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/286/640/018/ef6508d3712a4e35a10e3a17b5247e14.jpg?shrink=130:130&_v=20260921143318,https://prod.danawa.com/info/?pcode=18640286&cate=112747
