번호,제조사,제품명,가격,세부스펙,이미지,상품주소
25,마이크로닉스,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1 화이트,"88,000","ATX 파워 / 700W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : STANDARD++ / 전압변동 : ±0.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 4개 / [부가기능] 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/350/693/122/9d7a94177e174ba3ad348e456d93a6a3.jpeg?shrink=130:130&_v=20260921133323,https://prod.danawa.com/info/?pcode=122693350&cate=112777
26,마이크로닉스,마이크로닉스 Classic II 풀체인지 550W 80PLUS스탠다드 ATX3.1,"52,970",ATX 파워 / 550W / 80 PLUS 스탠다드 / 전압변동 : ±0.29% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 4개 / IDE 4핀 : 2개 / [부가기능] 대기전력 1W 미만 / 플랫케이블 닫기,https://img.danuri.io/catalog-image/961/979/072/7b1dfaa23b3e463cac4701576752327d.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=72979961&cate=112777
27,마이크로닉스,마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,"57,500","ATX 파워 / 500W / 80 PLUS 브론즈 / ETA인증 : BRONZE / LAMBDA인증 : STANDARD++ / 전압변동 : ±0.3% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, 4핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 3개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/352/642/049/9a7ac7a6e51f4f13ae166309129c97af.jpg?shrink=130:130&_v=20260921133258,https://prod.danawa.com/info/?pcode=49642352&cate=112777
28,마이크로닉스,마이크로닉스 Classic II 700W 80PLUS 230V EU,"84,400","ATX 파워 / 700W / 80 PLUS 스탠다드 / 케이블연결 : 케이블일체형 / +12V 싱글레일 / +12V 가용률 : 90% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 6년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 8핀(6+2) : 4개 / SATA : 6개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 / [변경사항] 2020년 1월 CPU 커넥터 변경 닫기",https://img.danuri.io/catalog-image/330/966/001/26482ae6115e4d7d8c2f105d3f2976e8.jpg?shrink=130:130&_v=20260921122539,https://prod.danawa.com/info/?pcode=1966330&cate=112777
29,마이크로닉스,마이크로닉스 Classic II 풀체인지 800W 80PLUS실버 ATX3.1 화이트,"92,900","ATX 파워 / 800W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : STANDARD+ / 전압변동 : ±0.49% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 8개 / IDE 4핀 : 4개 / [부가기능] 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/303/939/104/d989df65e054473f9f687b86938a120d.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=104939303&cate=112777
30,마이크로닉스,마이크로닉스 COOLMAX FOCUS II 500W ETA BRONZE,"47,220",ATX 파워 / 500W / ETA인증 : BRONZE / LAMBDA인증 : A- / +12V 싱글레일 / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 5년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 5개 / IDE 4핀 : 3개 / 대기전력 1W 미만 / 플랫케이블 닫기,https://img.danuri.io/catalog-image/583/549/028/7df541f34a8d4375ac0fee5e08828de4.jpg?shrink=130:130&_v=20260921142723,https://prod.danawa.com/info/?pcode=28549583&cate=112777
31,마이크로닉스,마이크로닉스 Classic II 1300W 80PLUS플래티넘 ATX3.1,"292,450","ATX 파워 / 1300W / 80 PLUS 플래티넘 / 케이블연결 : 풀모듈러 / ETA인증 : PLATINUM / LAMBDA인증 : STANDARD / 전압변동 : ±0.6% / +12V 싱글레일 / +12V 가용률 : 99% / 액티브PFC / PF(역률) : 99% / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 2개 / PCIe 8핀(6+2) : 3개 / SATA : 10개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/245/174/078/68bfc5068a944b8aac9e44a6e81f1c2a.jpg?shrink=130:130&_v=20260921081058,https://prod.danawa.com/info/?pcode=78174245&cate=112777
32,마이크로닉스,마이크로닉스 COOLMAX ELITE II 600W,"43,890",ATX 파워 / 600W / 케이블연결 : 케이블일체형 / 전압변동 : ±0.4% / +12V 싱글레일 / +12V 가용률 : 100% / 120mm 팬 / 깊이 : 140mm / 무상 5년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 4개 / IDE 4핀 : 3개 / [부가기능] 대기전력 1W 미만 닫기,https://img.danuri.io/catalog-image/842/760/098/61197b2a76764e45872d94ca1a71ede7.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=98760842&cate=112777
33,마이크로닉스,마이크로닉스 Classic II 풀체인지 800W 80PLUS브론즈 ATX3.1,"97,500","ATX 파워 / 800W / 80 PLUS 브론즈 / ETA인증 : SILVER / LAMBDA인증 : STANDARD+ / 전압변동 : ±0.49% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 8개 / IDE 4핀 : 4개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/751/642/049/e6822924f88340fc821b46c87db5310f.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=49642751&cate=112777
34,마이크로닉스,마이크로닉스 ASTRO II PT 1000W 80PLUS플래티넘 풀모듈러 ATX3.1,"249,000","ATX 파워 / 1000W / 80 PLUS 플래티넘 / 케이블연결 : 풀모듈러 / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 3개 / PCIe 8핀(6+2) : 3개 / SATA : 10개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/894/634/122/75d69b36fd3e4846983e452418505779.jpeg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=122634894&cate=112777
