번호,제조사,용량_GB,제품명,가격,세부스펙,이미지,상품주소
317,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 TRIDENT Z5 RGB J 실버 패키지,"2,016,490","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 실버/그레이 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/281/001/017/340a613a1b544d88950c81642ab8f2f2.jpg?shrink=130:130&_v=20260920080509,https://prod.danawa.com/info/?pcode=17001281&cate=112752
318,G.SKILL,64GB,G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB J 실버 패키지,"2,166,000","데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL32-39-39-102 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 실버/그레이 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/599/036/018/f706c715de554203a6036519e46588b9.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=18036599&cate=112752
319,TeamGroup,64GB,TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린,"1,424,950",데스크탑용 / DDR5 / 5600MHz (PC5-44800) / 램타이밍 : CL46-46-46-90 / 1.10V / 램개수 : 2개 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 32mm,https://img.danuri.io/catalog-image/335/566/019/ae126aebb87c46e598629ea77740a62e.jpg?shrink=130:130&_v=20260921142623,https://prod.danawa.com/info/?pcode=19566335&cate=112752
320,TeamGroup,64GB,TeamGroup T-CREATE DDR5-6000 CL48 CLASSIC 패키지 서린,"1,477,370",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL48-48-48-96 / 1.10V / 램개수 : 2개 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 32mm,https://img.danuri.io/catalog-image/628/567/019/ec848d39977e44d1944a4d3f769ff45f.jpg?shrink=130:130&_v=20260921080441,https://prod.danawa.com/info/?pcode=19567628&cate=112752
321,TeamGroup,64GB,TeamGroup T-CREATE DDR5-6400 CL34 EXPERT 화이트 패키지 서린,"1,650,510",데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL34-44-44-84 / 1.35V / 램개수 : 2개 / XMP / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / 높이 : 32mm,https://img.danuri.io/catalog-image/080/547/020/875f1ca68e644c008bf8fae6b228a79e.jpg?shrink=130:130&_v=20260921080404,https://prod.danawa.com/info/?pcode=20547080&cate=112752
322,TeamGroup,64GB,TeamGroup T-CREATE DDR5-6000 CL34 EXPERT 화이트 패키지 서린,"1,600,000",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL34-44-44-84 / 1.35V / 램개수 : 2개 / XMP / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / 높이 : 32mm / 25년 7월부로 전압 1.3→1.35V 변경,https://img.danuri.io/catalog-image/735/546/020/990c41321f6e479a9a771696411aeeb3.jpg?shrink=130:130&_v=20260921161548,https://prod.danawa.com/info/?pcode=20546735&cate=112752
323,TeamGroup,64GB,TeamGroup T-Force DDR5-6000 CL38 Delta RGB 패키지 서린,"1,560,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL38-38-38-78 / 1.30V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 46.1mm",https://img.danuri.io/catalog-image/994/552/019/f8c2e6dc04534c298494221405ba6e6c.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=19552994&cate=112752
324,TeamGroup,64GB,TeamGroup T-CREATE DDR5-6000 CL34 EXPERT 패키지 서린,"1,581,320",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL34-44-44-84 / 1.35V / 램개수 : 2개 / XMP / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 32mm / 25년 7월부로 전압 1.3→1.35V 변경,https://img.danuri.io/catalog-image/788/566/019/ff0bcc73c50d47799e5135b85cd03173.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=19566788&cate=112752
325,TeamGroup,64GB,TeamGroup T-CREATE DDR5-6400 CL34 EXPERT 패키지 서린,"1,670,000",데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL34-44-44-84 / 1.35V / 램개수 : 2개 / XMP / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 32mm,https://img.danuri.io/catalog-image/934/567/019/8d374d5d6d7b45cca00f6e4b25d400fd.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=19567934&cate=112752
326,TeamGroup,64GB,TeamGroup T-Force DDR5-5600 CL36 Delta RGB 패키지 서린,"1,520,000","데스크탑용 / DDR5 / 5600MHz (PC5-44800) / 램타이밍 : CL36-36-36-76 / 1.30V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 46.1mm",https://img.danuri.io/catalog-image/202/552/019/8237a7fa46a54444b6c0fd7bd1a5502e.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=19552202&cate=112752
327,TeamGroup,64GB,TeamGroup T-Force DDR5-5600 CL36 Delta RGB 화이트 패키지 서린,"1,520,000","데스크탑용 / DDR5 / 5600MHz (PC5-44800) / 램타이밍 : CL36-36-36-76 / 1.30V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 46.1mm",https://img.danuri.io/catalog-image/541/552/019/87ff799a6f8d4317999951d9996e045b.jpg?shrink=130:130&_v=20260921080454,https://prod.danawa.com/info/?pcode=19552541&cate=112752
328,TeamGroup,64GB,TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지 서린,"1,559,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL38 / 1.30V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 46.1mm",https://img.danuri.io/catalog-image/282/553/019/913ec489ed7f4404a63d8fe327c8810a.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=19553282&cate=112752
