번호,제조사,용량_GB,제품명,가격,세부스펙,이미지,상품주소
289,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 TRIDENT Z5 RGB 화이트 패키지,"2,190,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/437/639/021/992f9863a9e04283a9ec34b838f9d2bf.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=21639437&cate=112752
290,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지,"1,774,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / LED 라이트 / XMP3.0 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/664/913/072/ba522862398c43b18729b9ff770d723d.jpg?shrink=130:130&_v=20260921162123,https://prod.danawa.com/info/?pcode=72913664&cate=112752
291,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS M5 RGB 블랙 패키지,"2,180,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/800/151/056/bcb8a589d4784adc9cf61b0d7eec958e.jpg?shrink=130:130&_v=20260921103933,https://prod.danawa.com/info/?pcode=56151800&cate=112752
292,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 FLARE X5 J 화이트 패키지,"1,653,050",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / XMP3.0 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / 높이 : 33mm,https://img.danuri.io/catalog-image/568/913/072/95411ae2e2444ce893f57d71df618a1f.jpg?shrink=130:130&_v=20260921090321,https://prod.danawa.com/info/?pcode=72913568&cate=112752
293,G.SKILL,64GB,G.SKILL DDR5-5200 CL40 RIPJAWS M5 RGB 화이트 패키지,"1,504,790","데스크탑용 / DDR5 / 5200MHz (PC5-41600) / 램타이밍 : CL40-40-40-83 / 1.10V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/509/151/056/24dd45c8354d4308a11b7bd0c5a14aa5.jpg?shrink=130:130&_v=20260921142644,https://prod.danawa.com/info/?pcode=56151509&cate=112752
294,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 화이트 패키지,"1,789,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / LED 라이트 / XMP3.0 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/682/913/072/c487d9addd20430b8c0cd1985e14e1e3.jpg?shrink=130:130&_v=20260921090339,https://prod.danawa.com/info/?pcode=72913682&cate=112752
295,G.SKILL,64GB,G.SKILL DDR5-5200 CL40 RIPJAWS M5 RGB 블랙 패키지,"1,590,000","데스크탑용 / DDR5 / 5200MHz (PC5-41600) / 램타이밍 : CL40-40-40-83 / 1.10V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/416/151/056/586d132a3f8449c78d75073ca39c7864.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=56151416&cate=112752
296,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 RIPJAWS M5 NEO RGB 화이트 패키지,"1,689,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / LED 라이트 / XMP3.0 / EXPO / 온다이ECC / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/613/913/072/451caedc86614b26b262fcaa02e69099.jpg?shrink=130:130&_v=20260921090354,https://prod.danawa.com/info/?pcode=72913613&cate=112752
297,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 FLARE X5 J 패키지,"2,089,990",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm,https://img.danuri.io/catalog-image/774/022/040/1fe0782a1d0e4299a9ca28baa27f9396.jpg?shrink=130:130&_v=20260921090343,https://prod.danawa.com/info/?pcode=40022774&cate=112752
298,G.SKILL,64GB,G.SKILL DDR5-5200 CL40 RIPJAWS S5 J 블랙 패키지,"1,539,990",데스크탑용 / DDR5 / 5200MHz (PC5-41600) / 램타이밍 : CL40-40-40-83 / 1.10V / 램개수 : 2개 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm,https://img.danuri.io/catalog-image/163/103/054/f8bc17fe84554e8d8ac1979ad4e0f939.jpg?shrink=130:130&_v=20260921090356,https://prod.danawa.com/info/?pcode=54103163&cate=112752
299,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 FLARE X5 J 패키지,"1,679,990",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / XMP3.0 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm,https://img.danuri.io/catalog-image/559/913/072/7e47478d8a084fe78f324ece401b179d.jpg?shrink=130:130&_v=20260921090259,https://prod.danawa.com/info/?pcode=72913559&cate=112752
300,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 TRIDENT Z5 RGB J 패키지,"2,190,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/209/001/017/241b9db0fbac424b814116562d79421b.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=17001209&cate=112752
301,G.SKILL,64GB,G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 화이트 패키지,"1,989,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL32-38-38-96 / 1.40V / 램개수 : 2개 / LED 라이트 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/544/385/093/3623f0074bb24eec8ad5a2d526973210.jpg?shrink=130:130&_v=20260921142604,https://prod.danawa.com/info/?pcode=93385544&cate=112752
302,G.SKILL,64GB,G.SKILL DDR5-6400 CL32 RIPJAWS M5 RGB 블랙 패키지,"2,037,190","데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL32-39-39-102 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/055/152/056/e5aaf3e03301416c8fffd785082f0f7a.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=56152055&cate=112752
303,G.SKILL,64GB,G.SKILL DDR5-6000 CL36 RIPJAWS M5 NEO RGB 블랙 패키지,"1,689,990","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL36-36-36-96 / 1.35V / 램개수 : 2개 / LED 라이트 / XMP3.0 / EXPO / 온다이ECC / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/592/913/072/847d50de09e74aec9033b40fe53d1122.jpg?shrink=130:130&_v=20260921090351,https://prod.danawa.com/info/?pcode=72913592&cate=112752
304,G.SKILL,64GB,G.SKILL DDR5-6400 CL32 RIPJAWS M5 RGB 화이트 패키지,"2,042,690","데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL32-39-39-102 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/124/152/056/c2db1dbdb02449a8a007bfaf3b8754bf.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=56152124&cate=112752
305,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 TRIDENT Z5 J 패키지,"2,100,000",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 44mm,https://img.danuri.io/catalog-image/326/139/017/6d4505210aae418abf528f758cd9442d.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=17139326&cate=112752
306,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS M5 RGB 화이트 패키지,"2,126,360","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/980/151/056/ad5c12eded0646a88c8d7fc45acae4a0.jpg?shrink=130:130&_v=20260921090314,https://prod.danawa.com/info/?pcode=56151980&cate=112752
