번호,제조사,제품명,가격,세부스펙,이미지,상품주소
157,ASUS,ASUS DUAL 지포스 RTX 5060 WHITE OC D7 8GB 코잇,"758,990","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 228mm / 베이스클럭 : 2280 / 부스트클럭 : 2535MHz / OC클럭 : 2565MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 623(FP4) / GDDR7 / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 2팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / Dual BIOS / A/S 3년",https://img.danuri.io/catalog-image/733/726/122/11f7ee9a78fc4d89b0c7ad31eb2f8cfc.jpeg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=122726733&cate=112753
158,ASUS,ASUS DUAL 지포스 RTX 5060 D7 8GB 인텍앤컴퍼니,"765,000","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 228mm / 베이스클럭 : 2280 / 부스트클럭 : 2497MHz / OC클럭 : 2527MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : HDCP 2.3 , 8K 지원 , HDR 지원 / 2팬 / 두께 : 50mm / 백플레이트 / 제로팬(0-dB기술) / Dual BIOS / A/S 3년",https://img.danuri.io/catalog-image/539/861/093/2e4e8c9a25db4ad9ab6243ba43dd885c.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=93861539&cate=112753
159,ASUS,ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 코잇,"699,840","RTX 5060 / PCIe5.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 225mm / 부스트클럭 : 2535MHz / OC클럭 : 2565MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 2팬 / 두께 : 42mm / 제로팬(0-dB기술) / 백플레이트 / Dual BIOS",https://img.danuri.io/catalog-image/726/726/122/536987ae6efe447f8427200237ff3cfa.jpeg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=122726726&cate=112753
160,ASUS,ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 인텍앤컴퍼니,"820,350","RTX 5060 / PCIe5.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 225mm / 부스트클럭 : 2535MHz / OC클럭 : 2565MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : DP2.1 , HDMI2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 2팬 / 두께 : 42mm / Dual BIOS / 백플레이트 / 제로팬(0-dB기술)",https://img.danuri.io/catalog-image/866/628/104/0e8023b55af24fc49719f44823333e80.jpg?shrink=130:130&_v=20260921125139,https://prod.danawa.com/info/?pcode=104628866&cate=112753
161,ASUS,ASUS PRIME 지포스 RTX 5060 OC D7 8GB 대원씨티에스,"739,990","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 268.3mm / 베이스클럭 : 2280 / 부스트클럭 : 2565MHz / OC클럭 : 2595MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : HDR 지원 , 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 50mm / Dual BIOS / 백플레이트 / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/422/957/090/103af8dcb8624255b83e85e480c7c656.jpg?shrink=130:130&_v=20260921120608,https://prod.danawa.com/info/?pcode=90957422&cate=112753
162,ASUS,ASUS DUAL 지포스 RTX 5060 OC D7 8GB 인텍앤컴퍼니,"709,000","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 228mm / 베이스클럭 : 2280 / 부스트클럭 : 2535MHz / OC클럭 : 2565MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : DP2.1 , HDMI2.1 / 지원정보 : 8K 지원 , HDCP 2.3 , HDR 지원 / 2팬 / 두께 : 50mm / 제로팬(0-dB기술) / Dual BIOS / 백플레이트 / A/S 3년",https://img.danuri.io/catalog-image/327/496/091/68ac5e408bcf40eb83a6903566587756.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=91496327&cate=112753
163,ASUS,ASUS DUAL 지포스 RTX 5060 WHITE OC D7 8GB 인텍앤컴퍼니,"715,000","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 228mm / 베이스클럭 : 2280 / 부스트클럭 : 2535MHz / OC클럭 : 2565MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 623(FP4) / GDDR7 / 출력단자 : DP2.1 , HDMI2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 2팬 / 두께 : 50mm / 백플레이트 / Dual BIOS / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/304/837/097/2c245291b3fe4ac68d0e7245c10e3cbf.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=97837304&cate=112753
164,ASUS,ASUS DUAL 지포스 RTX 5060 OC D7 8GB Advanced 인텍앤컴퍼니,"865,000","RTX 5060 / PCIe5.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 228mm / 부스트클럭 : 2550MHz / OC클럭 : 2587MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / VRAM 대역폭 : 448 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 2팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / Dual BIOS",https://img.danuri.io/catalog-image/777/011/124/1e16cbf0d7de428aa41e80509b38b56c.jpeg?shrink=130:130&_v=20260919080509,https://prod.danawa.com/info/?pcode=124011777&cate=112753
165,ASUS,ASUS PRIME 지포스 RTX 5060 OC D7 8GB 인텍앤컴퍼니,"740,000","RTX 5060 / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 268.3mm / 베이스클럭 : 2280 / 부스트클럭 : 2565MHz / OC클럭 : 2595MHz / 스트림 프로세서 : 3840 / 최대 AI TOPS : 614(FP4) / GDDR7 / 출력단자 : DP2.1 , HDMI2.1 / 지원정보 : HDCP 2.3 , HDR 지원 , 8K 지원 / 3팬 / 두께 : 50mm / 백플레이트 / 제로팬(0-dB기술) / Dual BIOS / A/S 3년",https://img.danuri.io/catalog-image/162/496/091/eee63450c3da4d8f89b3bb23dc973a27.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=91496162&cate=112753
166,ASUS,ASUS DUAL 지포스 RTX 5060 TI OC D7 8GB 인텍앤컴퍼니,"785,850","RTX 5060 Ti / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 229mm / 베이스클럭 : 2407 / 부스트클럭 : 2602MHz / OC클럭 : 2632MHz / 스트림 프로세서 : 4608 / 최대 AI TOPS : 759(FP4) / GDDR7 / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : HDCP 2.3 , HDR 지원 , 8K 지원 / 2팬 / 두께 : 50mm / 백플레이트 / 제로팬(0-dB기술)",https://img.danuri.io/catalog-image/160/450/082/33dfb7745c9c44bfb8e719958db35d8a.jpg?shrink=130:130&_v=20260921122833,https://prod.danawa.com/info/?pcode=82450160&cate=112753
167,ASUS,ASUS 지포스 RTX 5060 Ti OC D7 8GB T1 Edition 인텍앤컴퍼니,"826,490","RTX 5060 Ti / PCIe5.0x16(at x8) / 550W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 269mm / 부스트클럭 : 2632MHz / OC클럭 : 2662MHz / 스트림 프로세서 : 4608 / 최대 AI TOPS : 759(FP4) / GDDR7 / VRAM 대역폭 : 448 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 3팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트",https://img.danuri.io/catalog-image/932/588/123/ffaf5d3fa48d4ec29cab354bf28bb8bc.jpeg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=123588932&cate=112753
